Person ID,Gender,Current Grade,City,Roles
272884,Male,None,Milton,"Frmr Coach, Staff/Faculty - Prosp"
272917,<None>,None,Franklin,Coach
272935,<None>,None,,Frmr Coach
272938,<None>,None,Brighton,"Frmr Coach, Staff/Faculty - Prosp"
273070,Female,None,Cambridge,"Faculty, Coach"
273072,Female,None,Norwell,"Faculty, Coach"
273325,Female,None,Natick,"Faculty, Coach"
273433,<None>,None,Hull,Faculty
273457,Female,None,Brockton,Faculty
273546,Female,None,Hanson,"Staff, Coach, Parent"
273618,Female,Grade 8,Randolph,Student (V-D)
273717,Female,None,Boston,"Staff/Fac - Frmr, Frmr Coach"
273760,Male,None,Holliston,Staff/Fac - Frmr
273917,Female,None,Hingham,Faculty
274407,Female,None,Boston,Staff-Anc
274848,Female,None,Holliston,"Coach, Staff-Anc"
275083,Female,None,Jamaica Plain,Faculty
275475,Male,None,Framingham,Frmr Coach
275476,<None>,None,Dedham,Frmr Coach
275698,<None>,None,,Staff
275993,<None>,None,Dedham,Staff
276298,Male,Grade 8,Needham,"Student (V-D), csf, Son of Faculty"
276595,Male,None,Needham,Frmr Coach
276908,Male,None,Belmont,"Alum '92, Parent, Husband of Alum"
276920,Female,None,Belmont,"Alum '92, Parent, Wife of Alum"
277406,<None>,None,Dedham,Staff
277639,Male,None,Weston,"Frmr Coach, Parent, Prnt of Alum, Father of Alum"
278039,Female,None,Auburn,"Frmr Coach, Staff/Faculty - Prosp"
278401,<None>,None,Attleboro,Staff-Anc
278402,Female,None,Wellesley,Staff-Anc
278772,<None>,None,Attleboro,Frmr Coach
279439,Male,None,Ellington,Frmr Staff-Anc
279544,Female,Grade 8,Dedham,"Student (V-D), csf, Daughter of Faculty"
280312,<None>,None,,Frmr Staff-Anc
284121,Female,None,Millville,Frmr Coach
284272,<None>,None,Uxbridge,Frmr Coach
284274,Male,None,Philadelphia,Coach
284298,Female,None,Nashua,"Staff, Coach"
284334,Male,None,Sherborn,"Faculty, Coach"
284420,Female,None,Medford,"Faculty, Coach"
284452,Male,None,Boston,"Faculty, Coach, Fiance of Faculty"
284499,<None>,None,Natick,"Staff, Staff/Faculty - Prosp"
284509,Male,Grade 8,Westwood,"Student (V-D), csf, Son of Faculty"
284510,Female,Grade 8,Wellesley,"Student (V-D), csf, Daughter of Staff"
284520,Female,Grade 9,Dover,"Student (IV-D), Relative of Prospect"
284521,Female,Grade 8,Waban,"Student (V-D), cfsf, Daughter of Former Staff/Faculty, Daughter of Alum"
284522,Female,Grade 9,Brookline,"Student (IV-D), Sibling of Prospect"
284524,Male,Grade 9,Waban,"Student (IV-D), Son of Alum"
284525,Female,Grade 9,Foxborough,Student (IV-D)
284526,Female,Grade 9,Hingham,"Student (IV-D), Sister of Alum"
284567,Male,Grade 11,Boston,"Student (II-D), Frmr Prg Stud"
284568,Female,Grade 11,Newton,Student (II-D)
284569,Female,Grade 11,Arlington,"Student (II-D), Sister of Alum"
284570,Male,Grade 11,North Easton,"Student (II-B), Prg Stud"
284575,Female,Grade 11,Attleboro,"Student (II-B), Prg Stud"
284608,Male,Grade 8,Norwood,"Student (V-D), Frmr Prg Stud"
284609,Female,Grade 8,Boston,"Student (V-D), Frmr Prg Stud"
284613,Male,Grade 8,Weston,Student (V-D)
284617,Female,Grade 8,Boston,"Student (V-D), Frmr Prg Stud"
284618,Female,Grade 8,Needham,Student (V-D)
284620,Female,Grade 8,Brookline,"Student (V-D), Frmr Prg Stud"
284621,Male,Grade 8,Boston,"Student (V-D), Frmr Prg Stud, Son of Alum"
284622,Male,Grade 8,Needham,Student (V-D)
284623,Male,Grade 8,Wellesley,Student (V-D)
284624,Male,Grade 8,Weston,Student (V-D)
284625,Female,Grade 8,Newton,Student (V-D)
284626,Male,Grade 8,Weston,Student (V-D)
284628,Male,Grade 8,Wellesley,Student (V-D)
284629,Male,Grade 8,Medfield,"Student (V-D), Brother of Alum"
284632,Male,Grade 8,Wellesley,Student (V-D)
284634,Male,Grade 8,Framingham,Student (V-D)
284636,Female,Grade 8,Bedford,"Student (V-D), Frmr Prg Stud"
